a,b
2980,0.00000
3000,0.016232
3010,0.025438
3020,0.035054
3030,0.05332
3040,0.063708
3050,0.089539
3060,0.10698
3070,0.13269
3080,0.15306
3090,0.1719
3100,0.21254
3110,0.23037
3120,0.25933
3130,0.2853
3140,0.29651
3150,0.33298
3160,0.34547
3170,0.36545
3180,0.3812
3190,0.4227
3200,0.39249
3210,0.45488
3220,0.43049
3230,0.46082
3240,0.49045
3250,0.46805
3260,0.50403
3270,0.51372
3280,0.49198
3290,0.53279
3300,0.53894
3310,0.52605
3320,0.55021
3330,0.55701
3340,0.55103
3350,0.56841
3360,0.57525
3370,0.57206
3380,0.5801
3390,0.58836
3400,0.58676
3410,0.59475
3420,0.60052
3430,0.6033
3440,0.6037
3450,0.61149
3460,0.61632
3470,0.62021
3480,0.62384
3490,0.62793
3500,0.63139
3510,0.63484
3520,0.63762
3530,0.64165
3540,0.64505
3550,0.64821
3560,0.65128
3570,0.65401
3580,0.65696
3590,0.65989
3600,0.66286
3610,0.66659
3620,0.67045
3630,0.67401
3640,0.67728
3650,0.68035
3660,0.68349
3670,0.68646
3680,0.68941
3690,0.69232
3700,0.6952
3710,0.69805
3720,0.70086
3730,0.70365
3740,0.7064
3750,0.70908
3760,0.71167
3770,0.71412
3780,0.7164
3790,0.71871
3800,0.72124
3810,0.72408
3820,0.72703
3830,0.72981
3840,0.73244
3850,0.73499
3860,0.73746
3870,0.73989
3880,0.74228
3890,0.74465
3900,0.747
3910,0.74932
3920,0.75162
3930,0.75389
3940,0.75615
3950,0.75837
3960,0.76058
3970,0.76275
3980,0.76491
3990,0.76704
4000,0.76914
4010,0.77123
4020,0.7733
4030,0.77535
4040,0.77737
4050,0.77938
4060,0.78136
4070,0.78333
4080,0.78527
4090,0.7872
4100,0.7891
4110,0.79099
4120,0.79285
4130,0.79469
4140,0.7964
4150,0.79825
4160,0.80008
4170,0.80187
4180,0.80362
4190,0.80535
4200,0.80706
4210,0.80876
4220,0.81044
4230,0.81211
4240,0.81376
4250,0.81536
4260,0.81695
4270,0.81853
4280,0.82007
4290,0.82159
4300,0.8231
4310,0.82458
4320,0.82605
4330,0.82751
4340,0.82895
4350,0.83038
4360,0.83179
4370,0.83318
4380,0.83456
4390,0.83592
4400,0.83726
4410,0.83858
4420,0.83989
4430,0.84117
4440,0.84243
4450,0.84366
4460,0.84486
4470,0.84611
4480,0.84745
4490,0.84881
4500,0.85013
4510,0.85141
4520,0.85264
4530,0.85384
4540,0.85502
4550,0.85613
4560,0.85714
4570,0.85816
4580,0.85916
4590,0.86013
4600,0.8611
4610,0.86206
4620,0.863
4630,0.86394
4640,0.86517
4650,0.86639
4660,0.86759
4670,0.86876
4680,0.8697
4690,0.87051
4700,0.87126
4710,0.87194
4720,0.87251
4730,0.87291
4740,0.87324
4750,0.87335
4760,0.87321
4770,0.87322
4780,0.87414
4790,0.87553
4800,0.87702
4810,0.87836
4820,0.87963
4830,0.88074
4840,0.88169
4850,0.88254
4860,0.88346
4870,0.88444
4880,0.88539
4890,0.88632
4900,0.88723
4910,0.88794
4920,0.88858
4930,0.88922
4940,0.88985
4950,0.89047
4960,0.89077
4970,0.89105
4980,0.89133
4990,0.89159
5000,0.89185
5010,0.89208
5020,0.89231
5030,0.89253
5040,0.89274
5050,0.89294
5060,0.8936
5070,0.89429
5080,0.89497
5090,0.89564
5100,0.89629
5110,0.89688
5120,0.89744
5130,0.898
5140,0.89856
