a,b,c
325,0.9487,0.0445
326,0.9480,0.0452
327,0.9466,0.0466
328,0.9461,0.0471
329,0.9446,0.0486
330,0.9426,0.0506
331,0.9400,0.0532
332,0.9385,0.0547
333,0.9371,0.0561
334,0.9366,0.0566
335,0.9339,0.0593
336,0.9305,0.0627
337,0.9285,0.0647
338,0.9284,0.0648
339,0.9288,0.0644
340,0.9288,0.0644
341,0.9302,0.0630
342,0.9320,0.0612
343,0.9358,0.0574
344,0.9373,0.0559
345,0.9415,0.0517
346,0.9440,0.0492
347,0.9474,0.0458
348,0.9501,0.0431
349,0.9530,0.0402
350,0.9544,0.0388
351,0.9563,0.0369
352,0.9594,0.0338
353,0.9639,0.0293
354,0.9656,0.0276
355,0.9664,0.0268
356,0.9707,0.0225
357,0.9731,0.0201
358,0.9773,0.0159
359,0.9800,0.0132
360,0.9831,0.0101
361,0.9821,0.0111
362,0.9848,0.0084
363,0.9882,0.0050
364,0.9866,0.0066
365,0.9855,0.0077
366,0.9851,0.0081
367,0.9848,0.0084
368,0.9858,0.0074
369,0.9858,0.0074
370,0.9865,0.0067
371,0.9866,0.0066
372,0.9881,0.0051
373,0.9900,0.0032
374,0.9890,0.0042
375,0.9893,0.0039
376,0.9885,0.0047
377,0.9891,0.0041
378,0.9881,0.0051
379,0.9870,0.0062
380,0.9862,0.0070
381,0.9854,0.0078
382,0.9859,0.0073
383,0.9848,0.0084
384,0.9845,0.0087
385,0.9840,0.0092
386,0.9839,0.0093
387,0.9849,0.0083
388,0.9846,0.0086
389,0.9829,0.0103
390,0.9802,0.0130
391,0.9790,0.0142
392,0.9763,0.0169
393,0.9725,0.0207
394,0.9678,0.0254
395,0.9620,0.0312
396,0.9576,0.0356
397,0.9544,0.0388
398,0.9519,0.0413
399,0.9491,0.0441
400,0.9479,0.0453
401,0.9489,0.0443
402,0.9511,0.0421
403,0.9542,0.0390
404,0.9574,0.0358
405,0.9600,0.0332
406,0.9632,0.0300
407,0.9668,0.0264
408,0.9691,0.0241
409,0.9709,0.0223
410,0.9726,0.0206
411,0.9741,0.0191
412,0.9747,0.0185
413,0.9754,0.0178
414,0.9758,0.0174
415,0.9754,0.0178
416,0.9761,0.0171
417,0.9762,0.0170
418,0.9764,0.0168
419,0.9759,0.0173
420,0.9759,0.0173
421,0.9762,0.0170
422,0.9763,0.0169
423,0.9769,0.0163
424,0.9773,0.0159
425,0.9781,0.0151
426,0.9784,0.0148
427,0.9794,0.0138
428,0.9806,0.0126
429,0.9817,0.0115
430,0.9829,0.0103
431,0.9838,0.0094
432,0.9846,0.0086
433,0.9854,0.0078
434,0.9863,0.0069
435,0.9866,0.0066
436,0.9866,0.0066
437,0.9860,0.0072
438,0.9854,0.0078
439,0.9846,0.0086
440,0.9837,0.0095
441,0.9823,0.0109
442,0.9810,0.0122
443,0.9802,0.0130
444,0.9793,0.0139
445,0.9791,0.0141
446,0.9793,0.0139
447,0.9800,0.0132
448,0.9804,0.0128
449,0.9814,0.0118
450,0.9823,0.0109
451,0.9827,0.0105
452,0.9836,0.0096
453,0.9843,0.0089
454,0.9847,0.0085
455,0.9846,0.0086
456,0.9847,0.0085
457,0.9848,0.0084
458,0.9850,0.0082
459,0.9853,0.0079
460,0.9854,0.0078
461,0.9854,0.0078
462,0.9856,0.0076
463,0.9854,0.0078
464,0.9854,0.0078
465,0.9848,0.0084
466,0.9844,0.0088
467,0.9842,0.0090
468,0.9832,0.0100
