a,b,c,d,e
248.068815,0,0,0.174418,0
266.755065,0,0,0.16279,0
276.19339,0,0,0.197674,0
285.726914,0,0,0.273255,0
295.274037,0,0,0.354651,0
309.485924,0,0,0.430232,0
326.023391,0,0,0.5,0
344.88644,0,0,0.563953,0
361.423908,0,0,0.63372,0
375.662994,0,0,0.72093,0
392.186862,0,0,0.784883,0
415.701074,0,0,0.837209,0
450.802393,0,0,0.843023,0
490.541275,0,0,0.831395,0
537.284101,0,0,0.813953,0
584.026927,0,0,0.796511,0
628.430572,0,0,0.779069,0
677.49898,0,0,0.755813,0
712.518699,0,0,0.726744,0
749.809601,0,0,0.668604,0
775.418196,0,0,0.616279,0
803.325173,0,0,0.546511,0
828.879368,0,0,0.47093,0
859.071127,0,0,0.377906,0
889.249286,0,0,0.279069,0
928.770569,0,0,0.174418,0
966.020671,0,0,0.098837,0
1005.650754,0,0,0.040697,0
1036.005711,0,0,0.017441,0
