a,b
251.5037593985,0.0557768924
269.5488721805,0.0517928287
286.0902255639,0.0996015936
298.1203007519,0.1553784861
310.1503759398,0.2071713147
329.6992481203,0.2470119522
355.2631578947,0.2629482072
382.3308270677,0.3187250996
400.3759398496,0.3705179283
413.9097744361,0.4183266932
433.4586466165,0.4462151394
460.5263157895,0.4980079681
484.5864661654,0.5537848606
502.6315789474,0.6015936255
532.7067669173,0.6533864542
558.2706766917,0.6932270916
585.3383458647,0.7370517928
610.9022556391,0.7768924303
645.4887218045,0.8207171315
674.0601503759,0.8565737052
704.1353383459,0.8844621514
737.2180451128,0.9043824701
773.3082706767,0.9123505976
803.3834586466,0.8884462151
828.9473684211,0.8446215139
848.4962406015,0.7968127490
865.0375939850,0.7410358566
881.5789473684,0.6653386454
899.6240601504,0.5737051793
923.6842105263,0.4581673307
940.2255639098,0.3705179283
956.7669172932,0.2948207171
971.8045112782,0.2430278884
992.8571428571,0.1633466135
1012.4060150376,0.1035856574
1034.9624060150,0.0597609562
1048.4962406015,0.0438247012
