a,b
600.0000000000,0.5500000000
631.3910186199,0.6666666667
650.6681270537,0.7133757962
663.8116100767,0.7430997877
680.0219058050,0.7770700637
695.3559693319,0.8025477707
716.8236582694,0.8343949045
735.6626506024,0.8598726115
753.6254107338,0.8811040340
771.1500547645,0.8980891720
787.7984665936,0.9129511677
803.1325301205,0.9193205945
818.9047097481,0.9235668790
834.2387732749,0.9235668790
853.0777656079,0.9171974522
870.1642935378,0.9023354565
888.1270536692,0.8874734607
903.0230010953,0.8683651805
918.3570646221,0.8492569002
935.8817086528,0.8259023355
951.2157721796,0.8025477707
969.1785323111,0.7770700637
986.2650602410,0.7494692144
1001.5991237678,0.7218683652
1015.1807228916,0.6985138004
1039.2771084337,0.6539278132
1050.0000000000,0.6000000000
