a,b
1100,0.0
1106,0.0
1112,0.0
1118,0.0
1124,0.0
1130,0.0
1136,0.0
1142,0.0
1148,0.0
1154,0.0
1160,0.0
1166,0.0
1172,0.0
1178,0.0
1184,0.0
1190,0.0
1196,0.0
1202,4.825229E-18
1208,1.552193E-15
1214,-1.047548E-14
1220,9.065695E-14
1226,2.875491E-13
1232,3.525327E-13
1238,3.538637E-13
1244,3.624901E-13
1250,3.374954E-13
1256,2.942639E-13
1262,3.120936E-13
1268,3.514154E-13
1274,3.451851E-13
1280,3.470328E-13
1286,3.408395E-13
1292,3.276270E-13
1298,2.866207E-13
1304,2.770652E-13
1310,3.155843E-13
1316,3.219465E-13
1322,3.226809E-13
1328,2.868290E-13
1334,2.467715E-13
1340,2.718006E-13
1346,3.031205E-13
1352,2.948023E-13
1358,2.848984E-13
1364,2.804384E-13
1370,2.750053E-13
1376,2.742036E-13
1382,2.643914E-13
1388,2.289240E-13
1394,2.067548E-13
1400,2.138306E-13
1406,2.225495E-13
1412,2.393106E-13
1418,2.409913E-13
1424,2.291062E-13
1430,2.318336E-13
1436,2.376269E-13
1442,2.339541E-13
1448,2.318922E-13
1454,2.359732E-13
1460,2.454444E-13
1466,2.384146E-13
1472,2.348212E-13
1478,2.431736E-13
1484,2.387961E-13
1490,2.364737E-13
1496,2.332428E-13
1502,2.171949E-13
1508,2.149285E-13
1514,2.222542E-13
1520,2.028274E-13
1526,1.795239E-13
1532,1.840419E-13
1538,1.781578E-13
1544,1.459994E-13
1550,1.515918E-13
1556,1.783247E-13
1562,1.782392E-13
1568,1.742047E-13
1574,1.759559E-13
1580,1.812497E-13
1586,1.849097E-13
1592,1.772949E-13
1598,1.672168E-13
1604,1.536122E-13
1610,1.492928E-13
1616,1.614820E-13
1622,1.572848E-13
1628,1.531799E-13
1634,1.547338E-13
1640,1.593090E-13
1646,1.677192E-13
1652,1.662592E-13
1658,1.575859E-13
1664,1.459057E-13
1670,1.363613E-13
1676,1.499553E-13
1682,1.576442E-13
1688,1.545004E-13
1694,1.500571E-13
1700,1.500904E-13
1706,1.433579E-13
1712,1.444002E-13
1718,1.420495E-13
1724,1.400837E-13
1730,1.538713E-13
1736,1.542101E-13
1742,1.488919E-13
1748,1.440733E-13
1754,1.451088E-13
1760,1.507662E-13
1766,1.481529E-13
1772,1.431727E-13
1778,1.418314E-13
1784,1.426945E-13
1790,1.408162E-13
1796,1.381005E-13
1802,1.358679E-13
1808,1.375307E-13
1814,1.399785E-13
1820,1.401411E-13
1826,1.339212E-13
1832,1.301528E-13
1838,1.312712E-13
1844,1.274722E-13
1850,1.210586E-13
1856,1.214667E-13
1862,1.193540E-13
1868,1.244464E-13
1874,1.230288E-13
1880,1.196111E-13
1886,1.168113E-13
1892,1.137271E-13
1898,1.186887E-13
1904,1.193256E-13
1910,1.143022E-13
1916,1.076613E-13
1922,1.059613E-13
1928,1.055304E-13
1934,1.102568E-13
1940,1.131415E-13
1946,1.128285E-13
1952,1.114465E-13
1958,1.081485E-13
1964,1.058662E-13
1970,1.054527E-13
1976,9.298185E-14
1982,1.026161E-13
1988,1.002727E-13
1994,1.042519E-13
2000,1.055608E-13
2006,1.067391E-13
2012,1.112895E-13
2018,1.130944E-13
2024,1.068287E-13
2030,1.147241E-13
2036,1.148661E-13
2042,1.116384E-13
2048,1.048882E-13
2054,1.158443E-13
2060,1.072117E-13
2066,9.631853E-14
2072,1.102969E-13
2078,1.216957E-13
2084,1.059739E-13
2090,9.568872E-14
2096,9.842669E-14
2102,1.025172E-13
2108,1.040471E-13
2114,1.081099E-13
2120,1.186089E-13
2126,1.062394E-13
2132,1.037510E-13
2138,9.529531E-14
2144,9.918249E-14
2150,9.569698E-14
2156,1.014875E-13
2162,1.086593E-13
2168,9.793085E-14
2174,8.996012E-14
2180,9.611296E-14
2186,9.022130E-14
2192,9.554980E-14
2198,1.000987E-13
2204,9.563782E-14
