a,b
920.00,6.7325e-16
921.00,8.1161e-16
922.00,-2.3649e-16
923.00,2.2478e-15
924.00,1.7916e-15
925.00,1.7365e-15
926.00,7.3184e-16
927.00,1.1729e-15
928.00,9.6446e-16
929.00,1.4270e-15
930.00,1.0984e-15
931.00,2.4502e-15
932.00,1.5450e-15
933.00,6.4585e-16
934.00,2.0598e-15
935.00,2.2935e-15
936.00,1.9320e-15
937.00,2.2696e-15
938.00,1.8069e-15
939.00,2.2191e-15
940.00,2.6947e-15
941.00,1.8335e-15
942.00,2.6890e-15
943.00,2.7430e-15
944.00,3.2190e-15
945.00,3.6733e-15
946.00,3.2655e-15
947.00,2.1659e-15
948.00,2.2179e-15
949.00,1.6600e-15
950.00,1.7101e-15
951.00,2.4365e-15
952.00,2.6238e-15
953.00,3.1364e-15
954.00,2.0065e-15
955.00,3.0624e-15
956.00,3.6433e-15
957.00,3.0962e-15
958.00,2.7479e-15
959.00,2.8288e-15
960.00,3.1870e-15
961.00,3.3555e-15
962.00,3.0136e-15
963.00,3.5264e-15
964.00,2.6888e-15
965.00,2.9063e-15
966.00,2.8553e-15
967.00,2.5271e-15
968.00,3.2847e-15
969.00,3.7946e-15
970.00,2.2994e-15
971.00,1.7575e-15
972.00,1.6067e-15
973.00,2.0972e-15
974.00,1.8452e-15
975.00,2.2035e-15
976.00,1.9165e-15
977.00,1.9872e-15
978.00,2.6043e-15
979.00,2.6450e-15
980.00,3.1467e-15
981.00,4.0200e-15
982.00,3.4517e-15
983.00,3.3294e-15
984.00,2.7047e-15
985.00,3.2105e-15
986.00,2.9376e-15
987.00,2.4895e-15
988.00,2.3644e-15
989.00,2.1232e-15
990.00,2.2345e-15
991.00,3.2193e-15
992.00,2.8908e-15
993.00,2.9419e-15
994.00,3.4231e-15
995.00,2.8459e-15
996.00,3.4267e-15
997.00,3.6806e-15
998.00,2.7069e-15
999.00,3.4341e-15
1000.00,3.8200e-15
1001.00,3.3950e-15
1002.00,3.2181e-15
1003.00,3.5558e-15
1004.00,3.4681e-15
1005.00,3.5775e-15
1006.00,3.6691e-15
1007.00,3.2342e-15
1008.00,3.4465e-15
1009.00,3.6378e-15
1010.00,3.2340e-15
1011.00,2.5675e-15
1012.00,3.0581e-15
1013.00,2.8627e-15
1014.00,3.5165e-15
1015.00,3.2211e-15
1016.00,2.8761e-15
1017.00,2.8297e-15
1018.00,2.9404e-15
1019.00,3.2428e-15
1020.00,3.1430e-15
1021.00,2.6810e-15
1022.00,2.1187e-15
1023.00,2.1040e-15
1024.00,1.6038e-15
1025.00,1.5002e-15
1026.00,1.1353e-15
1027.00,1.2911e-15
1028.00,1.9395e-15
1029.00,2.4728e-15
1030.00,2.6304e-15
1031.00,2.8774e-15
1032.00,3.2361e-15
1033.00,2.7375e-15
1034.00,3.1978e-15
1035.00,3.0844e-15
1036.00,2.4152e-15
1037.00,2.5797e-15
1038.00,3.3145e-15
1039.00,3.7419e-15
1040.00,3.7473e-15
1041.00,4.6381e-15
1042.00,4.8583e-15
1043.00,4.9493e-15
1044.00,4.9519e-15
1045.00,4.8268e-15
1046.00,4.6458e-15
1047.00,4.6872e-15
1048.00,4.2996e-15
1049.00,4.4263e-15
1050.00,4.3419e-15
1051.00,4.7487e-15
1052.00,4.5700e-15
1053.00,4.4947e-15
1054.00,4.9460e-15
1055.00,4.5420e-15
1056.00,4.4234e-15
1057.00,4.3296e-15
1058.00,4.6805e-15
1059.00,4.6255e-15
1060.00,4.6330e-15
1061.00,4.2494e-15
1062.00,3.8460e-15
1063.00,3.2744e-15
1064.00,3.5768e-15
1065.00,3.7550e-15
1066.00,3.7989e-15
1067.00,4.3348e-15
1068.00,4.1523e-15
1069.00,4.4815e-15
1070.00,4.2708e-15
1071.00,4.5853e-15
1072.00,4.4104e-15
1073.00,4.4692e-15
1074.00,4.2391e-15
1075.00,4.4532e-15
1076.00,4.5712e-15
1077.00,4.6482e-15
1078.00,4.6304e-15
1079.00,4.3479e-15
1080.00,4.6097e-15
1081.00,4.3855e-15
1082.00,4.1554e-15
1083.00,3.4349e-15
1084.00,3.4443e-15
1085.00,3.2581e-15
1086.00,4.0408e-15
1087.00,4.4506e-15
1088.00,4.3410e-15
1089.00,4.6422e-15
1090.00,4.6094e-15
1091.00,4.6930e-15
1092.00,4.6803e-15
1093.00,4.7191e-15
1094.00,4.6151e-15
1095.00,4.4641e-15
1096.00,4.1298e-15
1097.00,4.2681e-15
1098.00,4.2584e-15
1099.00,4.2989e-15
1100.00,4.4894e-15
1101.00,4.4631e-15
1102.00,4.4198e-15
1103.00,4.5644e-15
1104.00,4.7225e-15
1105.00,4.7413e-15
1106.00,4.5382e-15
1107.00,4.2319e-15
1108.00,4.1067e-15
1109.00,4.3094e-15
1110.00,4.1603e-15
1111.00,4.0676e-15
1112.00,4.1999e-15
1113.00,4.2321e-15
1114.00,4.3742e-15
1115.00,4.0687e-15
1116.00,4.4970e-15
1117.00,4.3420e-15
1118.00,4.6703e-15
1119.00,4.5565e-15
1120.00,4.3722e-15
1121.00,4.0584e-15
1122.00,3.7509e-15
1123.00,3.7542e-15
1124.00,4.0645e-15
1125.00,4.3226e-15
1126.00,3.9433e-15
1127.00,4.2131e-15
1128.00,3.8549e-15
1129.00,3.8966e-15
1130.00,4.3043e-15
1131.00,4.2547e-15
1132.00,4.2242e-15
1133.00,4.3471e-15
1134.00,3.9117e-15
1135.00,4.0787e-15
1136.00,4.2714e-15
1137.00,4.8517e-15
1138.00,4.5665e-15
1139.00,4.5835e-15
1140.00,4.1634e-15
1141.00,4.2895e-15
1142.00,3.9109e-15
1143.00,3.6597e-15
1144.00,3.7422e-15
1145.00,3.8940e-15
1146.00,4.4274e-15
1147.00,4.5578e-15
1148.00,4.7008e-15
1149.00,5.0431e-15
1150.00,4.6723e-15
1151.00,4.3595e-15
1152.00,4.4169e-15
1153.00,4.3891e-15
1154.00,4.3641e-15
1155.00,4.5608e-15
1156.00,4.5524e-15
1157.00,4.6045e-15
1158.00,4.5024e-15
1159.00,4.3313e-15
1160.00,4.5954e-15
1161.00,4.6810e-15
1162.00,4.6641e-15
1163.00,4.4268e-15
1164.00,4.4134e-15
1165.00,4.6360e-15
1166.00,4.5159e-15
1167.00,4.6533e-15
1168.00,4.4207e-15
1169.00,4.2804e-15
1170.00,4.4311e-15
1171.00,4.5612e-15
1172.00,4.2953e-15
1173.00,3.8903e-15
1174.00,3.5572e-15
1175.00,3.1403e-15
1176.00,3.3295e-15
1177.00,3.2256e-15
1178.00,4.1417e-15
1179.00,4.3287e-15
1180.00,4.3672e-15
1181.00,4.3844e-15
1182.00,4.4863e-15
1183.00,4.1856e-15
1184.00,4.2217e-15
1185.00,4.0983e-15
1186.00,4.1191e-15
1187.00,4.2741e-15
1188.00,3.8587e-15
1189.00,3.4299e-15
1190.00,2.7584e-15
1191.00,2.6423e-15
1192.00,2.4880e-15
1193.00,2.8702e-15
1194.00,3.4914e-15
1195.00,4.3009e-15
1196.00,4.3850e-15
1197.00,4.3943e-15
1198.00,4.1856e-15
1199.00,3.8747e-15
1200.00,3.6217e-15
1201.00,3.3374e-15
1202.00,3.2222e-15
1203.00,3.0462e-15
1204.00,2.7230e-15
1205.00,2.5183e-15
1206.00,2.1498e-15
1207.00,2.1457e-15
1208.00,2.2443e-15
1209.00,2.8263e-15
1210.00,2.7858e-15
1211.00,2.5667e-15
1212.00,3.1320e-15
1213.00,4.2213e-15
1214.00,6.3258e-15
1215.00,1.1290e-14
1216.00,2.2279e-14
1217.00,2.9801e-14
1218.00,2.5444e-14
1219.00,1.5254e-14
1220.00,8.3120e-15
1221.00,5.4512e-15
1222.00,4.6993e-15
1223.00,4.6500e-15
1224.00,5.0541e-15
1225.00,4.8827e-15
1226.00,5.0769e-15
1227.00,5.1671e-15
1228.00,5.0876e-15
1229.00,4.8504e-15
1230.00,5.1043e-15
1231.00,5.1420e-15
1232.00,5.3755e-15
1233.00,5.3375e-15
1234.00,5.4922e-15
1235.00,5.6270e-15
1236.00,5.4393e-15
1237.00,5.3189e-15
1238.00,5.6381e-15
1239.00,5.6761e-15
1240.00,5.8329e-15
1241.00,6.2963e-15
1242.00,6.4474e-15
1243.00,6.9944e-15
1244.00,7.1435e-15
1245.00,7.2352e-15
1246.00,6.7838e-15
