a,b
0.3500000,1.8999999E+002
0.3500100,1.8999455E+002
0.3500200,1.8998911E+002
0.3500300,1.8998368E+002
0.3500400,1.8997824E+002
0.3500500,1.8997281E+002
0.3500600,1.8996738E+002
0.3500700,1.8996194E+002
0.3500800,1.8995651E+002
0.3500900,1.8995107E+002
0.3501000,1.8994564E+002
0.3501100,1.8994021E+002
0.3501200,1.8993477E+002
0.3501300,1.8992934E+002
0.3501400,1.8992391E+002
0.3501500,1.8991848E+002
0.3501600,1.8991305E+002
0.3501700,1.8990761E+002
0.3501800,1.8990218E+002
0.3501900,1.8989675E+002
0.3502000,1.8989132E+002
0.3502100,1.8988589E+002
0.3502200,1.8988046E+002
0.3502300,7.3333105E+002
0.3502400,1.8986960E+002
0.3502500,1.8986417E+002
0.3502600,1.8985875E+002
0.3502700,8.8210534E+002
0.3502800,1.8984789E+002
0.3502900,1.8984246E+002
0.3503000,1.8983703E+002
0.3503100,1.8983161E+002
0.3503200,1.8982618E+002
0.3503300,1.8982075E+002
0.3503400,1.8981533E+002
0.3503500,1.8980990E+002
0.3503600,1.8980447E+002
0.3503700,1.8979905E+002
0.3503800,1.8979362E+002
0.3503900,1.8978820E+002
0.3504000,1.8978277E+002
0.3504100,1.8977735E+002
0.3504200,1.8977193E+002
0.3504300,1.8976650E+002
0.3504400,1.8976108E+002
0.3504500,1.8975565E+002
0.3504600,1.8975023E+002
0.3504700,1.8974481E+002
0.3504800,6.9690040E+002
0.3504900,1.8973396E+002
0.3505000,1.8972854E+002
0.3505100,1.8972312E+002
0.3505200,1.8971770E+002
0.3505300,7.0834429E+002
0.3505400,1.8970686E+002
0.3505500,1.8970144E+002
0.3505600,1.8969602E+002
0.3505700,9.0241962E+002
0.3505800,1.8968518E+002
0.3505900,1.8967976E+002
0.3506000,1.8967434E+002
0.3506100,1.8966892E+002
0.3506200,1.8966350E+002
0.3506300,1.8965809E+002
0.3506400,1.8965267E+002
0.3506500,1.8964725E+002
0.3506600,1.8964183E+002
0.3506700,1.8963642E+002
0.3506800,1.8963100E+002
0.3506900,1.8962558E+002
0.3507000,1.8962017E+002
0.3507100,1.8961475E+002
0.3507200,1.8960934E+002
0.3507300,1.8960392E+002
0.3507400,1.8959851E+002
0.3507500,1.8959309E+002
0.3507600,1.8958768E+002
0.3507700,1.8958226E+002
0.3507800,1.8957685E+002
0.3507900,1.8957143E+002
0.3508000,1.8956602E+002
0.3508100,1.8956061E+002
0.3508200,1.8955520E+002
0.3508300,1.8954978E+002
0.3508400,1.8954437E+002
0.3508500,1.8953896E+002
0.3508600,1.8953355E+002
0.3508700,1.8952814E+002
0.3508800,1.8952273E+002
0.3508900,7.1090633E+002
0.3509000,1.8951191E+002
0.3509100,1.8950649E+002
0.3509200,1.8950109E+002
0.3509300,1.8949568E+002
0.3509400,1.8949027E+002
0.3509500,1.8948486E+002
0.3509600,1.8947945E+002
0.3509700,1.8947404E+002
0.3509800,8.0064365E+002
0.3509900,1.8946322E+002
0.3510000,1.8945782E+002
0.3510100,1.8945241E+002
0.3510200,1.8944700E+002
0.3510300,1.8944160E+002
0.3510400,1.8943619E+002
0.3510500,1.8943078E+002
0.3510600,1.8942538E+002
0.3510700,1.8941997E+002
0.3510800,1.8941457E+002
0.3510900,1.8940916E+002
0.3511000,1.8940376E+002
0.3511100,1.8939835E+002
0.3511200,1.8939295E+002
0.3511300,1.8938755E+002
0.3511400,1.8938214E+002
0.3511500,1.8937674E+002
0.3511600,1.8937134E+002
0.3511700,1.8936593E+002
0.3511800,1.8936053E+002
0.3511900,1.8935513E+002
0.3512000,1.8934973E+002
0.3512100,9.6071735E+002
0.3512200,1.8933893E+002
0.3512300,1.8933352E+002
0.3512400,1.8932812E+002
0.3512500,1.8932272E+002
0.3512600,1.8931732E+002
0.3512700,1.8931192E+002
0.3512800,1.8930652E+002
0.3512900,4.6818713E+002
0.3513000,1.8929573E+002
0.3513100,1.8929033E+002
0.3513200,1.8928493E+002
0.3513300,1.8927953E+002
0.3513400,1.8927413E+002
0.3513500,1.8926874E+002
0.3513600,1.8926334E+002
0.3513700,1.8925794E+002
0.3513800,1.8925255E+002
0.3513900,1.8924715E+002
0.3514000,1.8924175E+002
0.3514100,1.8923636E+002
0.3514200,1.8923096E+002
0.3514300,1.8922557E+002
0.3514400,1.8922017E+002
0.3514500,1.8921478E+002
0.3514600,1.8920938E+002
0.3514700,1.8920399E+002
0.3514800,1.8919860E+002
0.3514900,1.8919320E+002
0.3515000,1.8918781E+002
0.3515100,1.8918242E+002
0.3515200,1.8917702E+002
0.3515300,1.8917163E+002
0.3515400,1.8916624E+002
0.3515500,1.8916085E+002
0.3515600,1.8915546E+002
0.3515700,1.8915007E+002
0.3515800,1.8914468E+002
0.3515900,1.8913928E+002
0.3516000,1.8913389E+002
0.3516100,1.8912850E+002
0.3516200,1.8912312E+002
0.3516300,1.8911773E+002
0.3516400,1.8911234E+002
0.3516500,1.8910695E+002
0.3516600,1.8910156E+002
0.3516700,1.8909617E+002
0.3516800,1.8909078E+002
0.3516900,1.8908540E+002
0.3517000,1.8908001E+002
0.3517100,1.8907462E+002
0.3517200,8.8387225E+002
0.3517300,1.8906385E+002
0.3517400,1.8905846E+002
0.3517500,1.8905308E+002
0.3517600,1.8904769E+002
0.3517700,1.8904230E+002
0.3517800,1.8903692E+002
0.3517900,1.8903153E+002
0.3518000,1.8902615E+002
0.3518100,1.8902077E+002
0.3518200,1.8901538E+002
0.3518300,1.8901000E+002
0.3518400,1.8900462E+002
0.3518500,1.8899923E+002
0.3518600,1.8899385E+002
0.3518700,1.8898847E+002
0.3518800,1.8898308E+002
0.3518900,1.8897770E+002
0.3519000,1.8897232E+002
0.3519100,1.8896694E+002
0.3519200,1.8896156E+002
0.3519300,1.8895618E+002
0.3519400,1.8895080E+002
0.3519500,1.8894542E+002
0.3519600,1.8894004E+002
0.3519700,1.8893466E+002
0.3519800,1.8892928E+002
0.3519900,1.8892390E+002
0.3520000,1.8891852E+002
0.3520100,1.8891314E+002
0.3520200,1.8890776E+002
0.3520300,1.8890239E+002
0.3520400,1.8889701E+002
0.3520500,1.8889163E+002
0.3520600,1.8888625E+002
0.3520700,1.8888088E+002
